,agency,administering_org,primary_ownership_group,county,activity,category,activity_status,activity_acres,activity_end,shape_Length,shape_Area,source,project_type,activity_description,project_status,activity_start,date_proposed,date_certified,project_acres,fs_unit_name,fs_unit_id,rx_burn_id,gis_acres,rx_consum,pre_con_class,post_con_class,date_approved,date_expired,objective,activity_group,filter_year,department,cost_per_acre,id,Watershed,HUC8,WatershedGroup,category2,category3
902,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,1.0,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,903,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
910,USDA,USFS,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Complete,48.0,2022.0,2331.609076404306,196336.8002110301,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,911,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
909,USDA,USFS,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Complete,26.0,2022.0,1663.6109553304436,104783.20090253875,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,910,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
6015,,Castle Crags LLC,Castle Crags LLC,Shasta,"Emergency Notice - Drought, Other",Harvest,Complete,61.9019174,,5924.915605073655,250508.17200403477,CAL FIRE Emergency Notices,,Diplodia tip blight in Ponderosa Pine,,,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Emergency Notice,2020.0,nan,,6016,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
5995,,Sierra Pacific Land and Timber Co,Sierra Pacific Land and Timber Co,Shasta,Emergency Notice - Fire,Harvest,Complete,179.85690038,,5557.169202988218,727855.0524170158,CAL FIRE Emergency Notices,,Delta Fire,,,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Emergency Notice,2020.0,nan,,5996,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
6872,,Shasta Cascade Timberlands LLC,Shasta Cascade Timberlands LLC,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,250.30449942,2020.0,15640.841105654536,1012946.3710420199,CAL FIRE Emergency Notices,,2018 Delta Fire,,2019.0,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Post-Harvest Reforestation,2020.0,nan,0.0,6873,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
6879,,Shasta Cascade Timberlands LLC,Shasta Cascade Timberlands LLC,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,1436.97333096,2020.0,18509.20692418676,5815224.753198946,CAL FIRE Emergency Notices,,2018 Delta Fire,,2019.0,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Post-Harvest Reforestation,2020.0,nan,0.0,6880,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
1152,USDA,USFS,FEDERAL,Siskiyou,PILE_BURN,Beneficial Fire,Complete,190.0,2022.0,5174.432747947099,770961.5919493401,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Pile Burning,2022.0,nan,,1153,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
4746,USDA,Shasta-Trinity National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,1944.89930138086,68211.44676283989,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,0150125000,16.85541534423828,,,,,,,Pile Burning,2019.0,USFS,,4747,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
4745,USDA,Shasta-Trinity National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,3617.996518151172,327901.6279149107,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,0150040000,81.02626037597656,,,,,,,Pile Burning,2019.0,USFS,,4746,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
4744,USDA,Shasta-Trinity National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,752.9498262100986,28474.070589774343,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,0150042000,7.036096096038818,,,,,,,Pile Burning,2019.0,USFS,,4745,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
2989,USDA,USFS,Federal,Siskiyou,Thinning-Commercial,Harvest,Complete,272.207616076138,,6434.576990641698,1102379.293856418,USFS Watershed Improvement Tracking (WIT),,051459_2019_McBrideReOfferCThin6,,2019.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Commercial Thinning,2019.0,nan,,2990,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
1151,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,190.0,2022.0,5174.432747947099,770961.5919493401,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1152,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1150,USDA,USFS,FEDERAL,Siskiyou,PILE_BURN,Beneficial Fire,Complete,36.0,2022.0,1740.2461387500748,144733.92916461275,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Pile Burning,2022.0,nan,,1151,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
2991,USDA,USFS,Federal,Siskiyou,Thinning-Commercial,Harvest,Complete,193.1865025048622,,4911.605516571706,782361.3061444374,USFS Watershed Improvement Tracking (WIT),,051459_2019_McBrideReOfferCThin4,,2019.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Commercial Thinning,2019.0,nan,,2992,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
1149,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,36.0,2022.0,1740.2461387500748,144733.92916461275,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1150,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1147,USDA,USFS,FEDERAL,Siskiyou,PILE_BURN,Beneficial Fire,Complete,22.0,2022.0,2883.395164527423,90226.07125317969,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Pile Burning,2022.0,nan,,1148,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
1146,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,22.0,2022.0,2883.395164527423,90226.07125317969,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1147,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1145,USDA,USFS,FEDERAL,Siskiyou,PILE_BURN,Beneficial Fire,Complete,16.0,2022.0,1559.1732049825464,65453.98381696172,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Pile Burning,2022.0,nan,,1146,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
1144,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,16.0,2022.0,1559.1732049825464,65453.98381696172,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1145,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
2924,USDA,USFS,Federal,Siskiyou,Thinning-Precommercial,Mechanical Fuels Reduction,N/A,31.917617034597406,,2472.680433866049,129258.66678761473,USFS Watershed Improvement Tracking (WIT),,051459 No Name PCT,,,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Precommercial Thinning,,nan,,2925,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1148,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,11.0,2022.0,950.6954658401154,43240.60780875843,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1149,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1667,CNRA,CALFIRE,,Shasta,Fuel Reduction,Mechanical Fuels Reduction,Active,38.57,2025.0,120.18347808561727,575.4970501070912,CalMAPPER,Fire Plan,2021 Shasta Lake City ,Active,2019.0,,,,,,,,,,,,,,Fuel Reduction,2025.0,CALFIRE,,1668,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
2923,USDA,USFS,Federal,Siskiyou,Thinning-Commercial,Harvest,Complete,85.70323587760726,,7184.932930763941,347078.4684391281,USFS Watershed Improvement Tracking (WIT),,051459_2019_McBrideReOfferCThin5,,2019.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Commercial Thinning,2019.0,nan,,2924,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
1666,CNRA,CALFIRE,,Shasta,Fuel Break,Mechanical Fuels Reduction,Active,28.92,2025.0,301.8211679098962,4426.638929288595,CalMAPPER,Fire Plan,2022 Shasta Lake City,Active,2019.0,,,,,,,,,,,,,,Non-harvest Fuel Break,2025.0,CALFIRE,,1667,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1665,CNRA,CALFIRE,,Shasta,Fuel Reduction,Mechanical Fuels Reduction,Active,13.97,2025.0,2195.1850441910174,31551.753196597296,CalMAPPER,Fire Plan,2022 Shasta Lake City bor,Active,2019.0,,,,,,,,,,,,,,Fuel Reduction,2025.0,CALFIRE,,1666,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
2922,USDA,USFS,Federal,Siskiyou,Thinning-Commercial,Harvest,Complete,437.04136362604356,,7893.049270956117,1769912.454627345,USFS Watershed Improvement Tracking (WIT),,051459_2019_McBrideReOfferCThin3,,2019.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Commercial Thinning,2019.0,nan,,2923,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
2874,USDA,USFS,Federal,Siskiyou,Thinning-Commercial,Harvest,Complete,7.168445674850657,,1296.2426619741404,29030.559511351334,USFS Watershed Improvement Tracking (WIT),,051459_2019_McBrideReOfferCThin7,,2019.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Commercial Thinning,2019.0,nan,,2875,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
834,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,0.4,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,835,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
6871,,Sierra Pacific Land and Timber Co,Sierra Pacific Land and Timber Co,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,179.85690038,2021.0,5557.169202988218,727855.0524170158,CAL FIRE Emergency Notices,,Delta Fire,,2020.0,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Post-Harvest Reforestation,2021.0,nan,0.0,6872,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
6844,,Sierra Pacific Land and Timber Co,Sierra Pacific Land and Timber Co,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,267.16409897,2022.0,13898.612641265609,1081174.7497471226,CAL FIRE Emergency Notices,,Hirz Fire,,2021.0,,,,,,,,,,,2020.0,2021.0,Timber Harvest,Post-Harvest Reforestation,2022.0,nan,0.0,6845,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
6014,,Castle Crags LLC,Castle Crags LLC,Shasta,Emergency Notice - Fuel_Hazrd,Harvest,Complete,90.94989605,,4392.998127149971,368061.1709521049,CAL FIRE Emergency Notices,,Dunsmuir Fuel Hazard Reduction,,,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Emergency Notice,2020.0,nan,,6015,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
6843,,Sierra Pacific Land and Timber Co,Sierra Pacific Land and Timber Co,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,127.94666965,2022.0,4238.540260827542,517781.80180015805,CAL FIRE Emergency Notices,,Hirz Fire,,2021.0,,,,,,,,,,,2020.0,2021.0,Timber Harvest,Post-Harvest Reforestation,2022.0,nan,0.0,6844,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
6832,,Lance Higby,Lance Higby,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,18.51841164,2020.0,1166.3858061663293,74941.35308556125,CAL FIRE Emergency Notices,,2018 Delta Fire,,2019.0,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Post-Harvest Reforestation,2020.0,nan,0.0,6833,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
6830,,David Ingraham,David Ingraham,Shasta,Reforestation After Emergency Notice - Fire,Reforestation,Complete,18.75550564,2020.0,1303.1912070725768,75900.83846704754,CAL FIRE Emergency Notices,,2018 Delta Fire,,2019.0,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Post-Harvest Reforestation,2020.0,nan,0.0,6831,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
4730,USDA,Shasta-Trinity National Forest,,Shasta,Machine Pile Burn,Beneficial Fire,Complete,13.9,2021.0,3140.010318088829,56397.08694441178,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,LAKEHEAD NORTH PROJECT,,2021.0,,,,,,FTLHNTHRX0,13.936023712158203,,,,,,,Pile Burning,2021.0,USFS,,4731,Sacramento Headwaters,18020005,Sacramento Headwaters,Beneficial Fire,Beneficial Fire - Intentional
6805,,Sierra Pacific Land and Timber Co,Sierra Pacific Land and Timber Co,Shasta,"Reforestation After Emergency Notice - Fire, Insect",Reforestation,Complete,7.41307792,2021.0,1363.8384101575002,29999.661985095478,CAL FIRE Emergency Notices,,Delta Fire,,2020.0,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Post-Harvest Reforestation,2021.0,nan,0.0,6806,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
